Reference,Value,Datasheet,num
C1,1u,P-15940,1
C2,0.1u,P-15940,1
C3,0.1u,P-15940,1
C4,1u,P-15940,1
J1,Conn_01x04_Socket,C-06631,1
J2,Conn_01x05_Socket,C-06631,1
J3,Conn_01x04_Socket,C-05779,1
Q1,2SC1815,I-06477,1
R1,220,R-25221,1
R2,4.7k,R-25472,1
R3,470,R-25471,1
R4,2.2k,R-25222,1
R4A,22k,R-25223,1
R5,4.7k,R-25472,1
R6,4.7k,R-25472,1
R7,100k,R-25104,1
R8,22k,R-25223,1
R9,15,R-25150,1
